exercise_name,exercise_url,body_part,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers
Lever Close Grip Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/LVCloseGripPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Lever Front Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/LVFrontPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Lever Isolateral Pulldown,https://exrx.net/WeightExercises/LatissimusDorsi/LVPulldown,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Rhomboids; Levator Scapulae; Pectoralis Minor; Trapezius, Lower; Pectoralis Major, Sternal; Coracobrachialis","Triceps, Long Head",,
Lever Pullover,https://exrx.net/WeightExercises/LatissimusDorsi/LVPullover,Back,Latissimus Dorsi,"Pectoralis Major, Sternal; Pectoralis Minor; Triceps, Long Head; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae",,"Trapezius, Lower",
Weighted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/WtUnderhandChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Coracobrachialis; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Weighted Parallel Close Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/WtCloseGripChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Weighted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/WtPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Band-assisted Archer Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASArcherPullupBand,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Band-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASChinupBand,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Band-assisted Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASPullupBand,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Band-assisted Parallel Grip Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/ASParallelGripPullupBand,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Coracobrachialis; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
Archer Pull-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWArcherPullup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Biceps Brachii; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Coracobrachialis; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Minor","Triceps, Long Head",,
Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/BWUnderhandChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
