exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Sled Seated Leg Press,https://exrx.net/WeightExercises/GluteusMaximus/SLSeatedLegPress,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
Sled Squat,https://exrx.net/WeightExercises/GluteusMaximus/SLSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled Hack Squat,https://exrx.net/WeightExercises/GluteusMaximus/SLHackSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Smith Bent Knee Good-morning,https://exrx.net/WeightExercises/GluteusMaximus/SMBentKneeGoodMorning,Gluteus Maximus,Adductor Magnus; Hamstrings,,Erector Spinae; Quadriceps,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Smith Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/SMDeadlift,Gluteus Maximus,Quadriceps; Adductor Magnus; Hamstrings (top half); Soleus,Hamstrings (bottom half); Gastrocnemius,"Erector Spinae; Trapezius, Middle; Trapezius, Upper; Levator Scapulae; Rhomboids",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Smith Stiff Leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/SMStiffLegDeadlift,Gluteus Maximus,Erector Spinae; Adductor Magnus; Hamstrings,,"Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Smith Straight-back Stiff-leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/SMStrBackStiffLegDeadlift,Gluteus Maximus,Adductor Magnus; Hamstrings,,"Erector Spinae; Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Smith Rear Lunge,https://exrx.net/WeightExercises/GluteusMaximus/SMRearLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Smith Squat,https://exrx.net/WeightExercises/GluteusMaximus/SMSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Weighted Reverse Hyper-extension,https://exrx.net/WeightExercises/GluteusMaximus/WtReverseHyperextension,Gluteus Maximus,Hamstrings,,Erector Spinae,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Weighted Single Leg Squat,https://exrx.net/WeightExercises/GluteusMaximus/WtSingleLegSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Erector Spinae (see notes),Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Rectus Abdominis,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,"Deltoid, Anterior; Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Upper; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,
Kettlebell Front Squat,https://exrx.net/WeightExercises/Kettlebell/KBFrontSquat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunge,https://exrx.net/WeightExercises/GluteusMaximus/BWLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Tibialis Anterior; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Rear Lunge,https://exrx.net/WeightExercises/GluteusMaximus/BWRearLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
